"GDP per capita, current prices
 (U.S. dollars per capita)",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cambodia,299.982,320.046,337.501,360.659,405.618,470.64,536.135,627.781,741.822,737.177,788.182,889.745,965.379,1034.768,1123.131,1203.435,1320.282,1448.02,1587.935,1736.317
Cameroon,660.382,687.404,756.14,949.02,1089.418,1101.546,1147.497,1277.667,1439.39,1409.942,1353.407,1464.888,1404.412,1527.773,1604.627,1382.65,1412.866,1468.929,1585.96,1533.161
Canada,24296.721,23859.714,24279.186,28338.745,32176.593,36439.62,40558.897,44716.985,46773.837,40990.625,47627.345,52285.937,52744.004,52708.61,51020.843,43626.47,42382.635,45191.993,46625.859,46449.962
Central African Republic,238.505,242.794,260.865,310.302,336.409,356.688,381.315,427.313,485.807,482.648,492.078,551.028,566.199,380.304,424.67,377.476,402.053,450.744,488.553,480.145
Chad,188.139,223.102,250.264,330.959,513.888,661.203,712.529,803.018,932.601,805.798,895.354,985.629,970.738,982.92,1024.838,776.105,700.558,671.18,713.426,689.327
Chile,5099.922,4608.057,4479.771,4824.87,6183.906,7558.009,9410.392,10447.116,10759.738,10176.733,12723.064,14560.249,15316.01,15740.391,14582.85,13494.489,13722.878,15003.77,15755.003,14567.988
"China, People's Republic of",951.163,1044.958,1141.14,1282.21,1499.712,1751.368,2095.239,2691.048,3446.695,3813.408,4499.803,5553.242,6282.709,7039.574,7645.875,8034.287,8063.446,8760.259,9848.949,10170.061
Colombia,2535.477,2461.328,2424.349,2313.535,2827.173,3493.976,3836.672,4834.416,5622.109,5330.795,6498.597,7518.304,8237.306,8409.688,8312.056,6337.038,6037.126,6577.287,6923.64,6540.141
Comoros,628.071,675.05,757.399,949.68,1055.357,1085.659,1110.984,1251.857,1403.796,1351.145,1322.638,1450.159,1403.417,1500.731,1505.178,1231.135,1256.035,1300.566,1386.014,1359.75
"Congo, Dem. Rep. of the",397.025,146.542,171.076,171.505,189.173,226.776,265.901,310.819,366.699,291.745,338.802,387.825,427.848,481.137,512.244,519.68,477.259,478.789,564.342,578.891
