"GDP per capita, current prices
 (U.S. dollars per capita)",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
North Macedonia ,1878.237,1839.616,1974.061,2440.813,2796.622,3071.897,3359.608,4076.296,4838.148,4579.092,4576.228,5097.26,4728.373,5239.649,5498.612,4860.422,5152.966,5462.379,6111.186,6073.003
Norway,38094.597,38553.843,43083.871,50161.513,57676.821,66924.047,74255.799,85276.992,97119.989,80115.693,87823.805,100815.931,101779.186,103214.973,97302.705,74568.136,70629.25,75940.152,82605.966,76303.683
Oman,9266.358,9088.213,9285.343,9792.637,11042.532,13563.457,15946.355,17716.421,25061.257,19235.875,21677.793,23518.573,24129.012,23328.489,23219.693,18924.97,17020.387,17731.849,19885.103,19069.311
Pakistan,698.964,666.691,662.991,741.252,854.153,920.498,1007.352,1125.625,1187.339,1075.506,1107.551,1271.725,1351.566,1370.242,1409.471,1527.373,1566.625,1653.406,1698.034,1500.683
Palau,7900.288,8304.592,8404.127,7923.588,8462.146,9327.328,9678.117,10136.305,10498.22,9882.582,10080.443,10885.959,12294.283,13004.425,14149.356,16037.963,17161.725,16383.831,16289.539,15876.323
Panama,4261.463,4244.106,4324.661,4469.688,4807.66,5146.047,5598.289,6350.183,7369.186,7806.732,8332.576,9653.933,11063.257,12273.18,13221.567,14102.156,14866.506,15731.102,16181.217,16526.419
Papua New Guinea,1007.517,862.099,814.701,995.275,1111.943,1269.526,1411.902,1576.159,1883.527,1833.09,2132.185,2552.043,2865.783,2800.178,2992.711,2742.906,2567.586,2755.488,2861.448,2877.497
Paraguay,1675.793,1577.681,1312.083,1377.521,1693.886,1857.78,2285.125,2988.684,4054.044,3623.931,4329.69,5301.834,5153.417,5892.846,6065.282,5360.077,5265.061,5608.156,5703.324,5302.239
Peru,1940.238,1935.546,2017.765,2159.744,2408.091,2669.214,3106.719,3587.798,4210.546,4181.705,5057.071,5736.328,6406.712,6647.407,6584.696,6169.375,6212.801,6778.729,7053.558,7008.542
Philippines,1087.287,1003.957,1050.297,1062.619,1137.068,1261.241,1470.825,1764.683,2011.634,1923.674,2237.157,2473.249,2721.252,2903.189,2995.504,3039.234,3107.646,3153.314,3279.519,3512.195
Poland,4485.064,4987.859,5205.517,5699.557,6684.675,8023.921,9031.797,11252.863,13999.496,11532.283,12510.805,13776.572,13010.54,13550.385,14183.116,12545.188,12369.893,13819.834,15504.366,15694.594
Portugal,11531.467,11734.878,12927.584,15793.852,18055.893,18790.561,19840.474,22813.667,24946.256,23126.175,22539.038,23213.126,20576.825,21653.505,22109.318,19252.015,19986.362,21482.834,23573.299,23333.317
Puerto Rico,16192.127,18243.709,18972.77,19820.208,20988.989,21959.317,22935.951,23664.874,24898.335,25768.726,26435.742,27278.853,27944.742,28513.15,28981.343,29755.35,30585.55,31347.273,31549.375,32851.875
Qatar,30461.311,28600.029,30701.131,35919.758,42548.115,54357.783,60591.776,65934.266,72484.634,53822.909,69796.138,96827.857,101933.117,99180.39,93054.141,66346.911,57965.377,59127.513,66421.617,63007.696
Romania,1667.613,1800.966,2108.445,2672.061,3487.699,4608.801,5744.634,8273.885,10446.484,8540.187,8391.048,9546.749,8919.363,9481.981,10025.457,8951.736,9378.957,10717.263,12465.699,12928.148
Russian Federation,1901.956,2255.253,2552.788,3197.573,4403.962,5708.838,7426.005,9761.368,12464.244,9156.97,11431.148,14306.432,15287.967,15928.699,14007.509,9257.935,8723.523,10723.996,11261.716,11555.269
Rwanda,266.055,248.99,242.338,257.7,277.634,334.407,368.508,442.334,545.574,585.04,612.395,674.982,730.185,728.395,749.269,758.834,753.876,783.521,797.104,836.016
Saint Kitts and Nevis,9279.584,9962.552,10304.318,9922.475,10566.955,11256.635,13095.2,13845.794,15451.231,15215.837,15136.905,16076.845,15694.489,16455.077,17737.032,17628.819,18367.916,19103.03,19229.138,19581.712
Saint Lucia,5843.353,5553.186,5558.316,6051.87,6490.831,6861.984,7614.247,7944.157,8462.296,8248.564,8555.92,9113.38,9232.222,9542.229,10008.505,10291.46,10591.881,11282.751,11585.525,11773.428
Saint Vincent and the Grenadines,3973.449,4284.994,4518.089,4710.272,5082.069,5353.688,5933.621,6572.506,6740.48,6564.113,6613.132,6544.688,6686.015,6988.344,7028.297,7154.784,7390.469,7643.104,8001.555,8234.203
Samoa,1552.03,1557.508,1638.535,1927.085,2341.911,2704.296,2850.163,3121.319,3733.905,3348.774,3658.418,3969.173,4088.771,4182.937,4144.645,4258.955,4338.053,4529.348,4478.955,4632.08
San Marino,no data,no data,no data,no data,59313.405,61150.61,64498.508,72991.531,79110.201,67011.543,60426.235,57512.891,50336.185,51986.532,51234.869,43068.693,44308.666,45887.687,49477.281,48043.86
Saudi Arabia,10448.562,9898.276,9937.444,11027.901,12891.372,15943.457,17827.384,19196.07,23403.651,18836.967,22028.368,26966.305,28348.573,27290.188,27079.664,22453.589,21515.643,23081.196,28036.026,27892.86
Senegal,614.004,648.446,680.83,831.623,931.745,993.237,1027.786,1197.551,1403.795,1307.516,1272.622,1366.534,1318.614,1372.686,1397.017,1219.373,1269.553,1361.221,1458.73,1436.224
Serbia,1302.459,1733.695,2291.259,3009.723,3486.086,3695.343,4398.828,5878.873,7087.453,6168.228,5673.62,6809.94,6014.914,6752.797,6598.935,5588.979,5765.203,6292.546,7252.404,7417.206
Seychelles,7578.829,7663.083,8431.923,8524.935,10176.659,11093.314,12014.418,12155.702,11480.433,9707.265,10805.099,11647.017,11999.897,14762.223,15189.416,15375.608,16721.449,17738.31,18602.985,19361.549
Sierra Leone,205.251,228.033,251.704,265.323,264.775,285.106,323.259,360.425,409.443,391.213,401.835,448.324,566.37,716.148,713.53,592.903,525.948,495.812,533.972,521.396
Singapore,23852.834,21699.748,22159.833,23730.379,27608.075,29961.308,33768.446,39432.895,40008.577,38926.813,47236.672,53891.462,55547.546,56967.426,57564.802,55645.607,56895.643,61164.897,66836.539,66070.471
Slovak Republic,3839.803,3982.454,4626.832,6341.548,8040.066,9141.837,10700.341,14374.845,18074.59,16591.518,16925.818,18526.85,17520.021,18284.89,18734.142,16399.946,16572.743,17591.574,19508.33,19396.966
Slovenia,10259.494,10502.321,11804.768,14873.628,17254.827,18152.125,19723.796,23912.494,27744.207,24854.229,23570.184,25156.137,22674.49,23516.527,24263.959,20898.913,21681.335,23511.316,26224.257,26138.901
Solomon Islands,1017.394,965.938,795.544,788.629,866.985,1014.727,1119.587,1260.251,1389.053,1428.609,1604.149,1938.786,2131.454,2250.761,2274.897,2168.568,2227.003,2310.86,2474.44,2417.332
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,437.511,481.926,514.686,531.554,558.643,606.778,592.097,655.442
South Africa,3382.066,2964.029,2791.18,4209.22,5415.089,6033.211,6276.173,6776.465,6355.879,6552.265,8130.193,8799.477,8207.059,7458.04,6984.926,6256.667,5750.785,6678.292,6991.709,6622.629
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1659.546,1041.463,1337.232,1316.366,1289.852,237.034,143.345,240.328,302.262
Spain,14761.108,15400.911,17097.916,21501.074,24932.129,26438.031,28414.133,32588.562,35484.39,32131.382,30566.877,31676.69,28344.913,29094.337,29537.627,25776.217,26549.363,28211.927,30438.338,29603.298
Sri Lanka,1065.469,1017.154,1061.683,1162.71,1259.771,1477.595,1698.156,1928.714,2410.801,2472.242,2894.26,3320.074,3446.355,3737.366,3969.713,4057.742,4150.367,4401.055,4360.149,4082.694
Sudan,422.316,492.676,554.652,635.575,772.939,996.677,1249.767,1599.596,1700.513,1401.244,1637.419,2034.461,1396.292,1462.582,1628.497,1679.025,1638.638,1199.177,796.298,777.066
Suriname,2904.549,2464.817,3075.376,3571.556,4057.746,4800.797,5577.122,6165.518,7316.459,7917.317,8806.017,8770.289,9844.747,10013.725,10042.68,9036.347,5761.783,6156.461,6772.07,6662.874
Sweden,29589.141,27207.49,29846.186,37249.257,42736.876,43349.851,46425.841,53496.534,55929.862,46734.909,52658.794,60540.218,57816.023,60845.007,59704.814,51274.278,51590.473,53459.072,54295.731,51694.498
Switzerland,38976.036,39831.997,42658.5,49520.417,54772.692,56378.928,59217.075,65370.159,74665.575,71898.31,76822.061,90938.465,86283.22,87878.542,89279.52,84230.676,82577.038,82584.384,85546.669,84474.469
Syria,1202.891,1236.897,1305.087,1208.885,1361.499,1510.392,1726.028,2016.052,2557.211,2557.267,2806.685,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,550.516,505.213,552.891,647.954,692.685,809.407,839.546,885.101,1125.875,1173.498,1090.263,1274.447,1262.796,1439.109,1545.253,1335.729,1470.016,1594.356,1851.025,1953.567
Taiwan Province of China,14844.238,13357.195,13651.355,14040.597,15290.307,16427.459,16892.883,17723.704,18053.591,16904.543,19181.358,20838.589,21256.361,21945.46,22844.316,22752.991,23070.733,25061.624,25825.566,25903.168
Tajikistan,159.417,167.035,187.958,236.394,308.844,337.129,401.586,519.025,702.445,666.024,738.287,834.52,949.648,1040.15,1105.197,919.073,800.645,844.595,852.341,893.318
Tanzania,380.08,377.469,382.354,401.069,428.927,459.757,491.056,551.781,683.137,693.025,732.315,768.16,867.857,970.348,1030.74,947.897,966.29,1002.869,1036.93,1077.739
Thailand,2003.605,1893.264,2096.189,2359.116,2660.126,2894.06,3369.545,3973.019,4379.659,4213.01,5076.339,5492.115,5860.583,6168.268,5951.877,5840.05,5993.308,6593.816,7298.941,7812.886
Timor-Leste,420.946,539.594,520.99,534.192,471.231,483.242,462.124,538.952,628.632,689.276,819.147,947.257,1031,1213.651,1233.582,1332.702,1358.284,1293.236,1248.543,1595.876
Togo,402.18,388.651,435.683,526.449,547.7,539.198,540.082,621.808,735.775,737.152,722.819,803.341,782.049,847.4,877.419,770.221,792.222,813.108,873.964,848.341
Tonga,2066.545,1819.632,1828.634,2015.247,2288.897,2581.93,2865.259,2919.693,3360.507,3040.244,3561.484,4014.77,4581.885,4408.998,4325.614,4319.442,4178.289,4577.988,4784.368,5092.873
Trinidad and Tobago,6545.953,7046.379,7162.514,8931.032,10442.168,12471.953,14280.042,16765.857,21448.701,14777.395,16957.433,19300.833,19962.219,20822.965,21414.318,19340.181,16847.45,16943.237,17242.203,16600.892
Tunisia,2322.277,2365.245,2460.779,2897.197,3265.224,3350.785,3536.507,3963.791,4519.745,4333.153,4343.057,4471.694,4345.815,4419.705,4511.282,4060.695,3890.127,3656.508,3661.194,3556.377
Turkmenistan,1874.556,2559.362,3177.653,4129.701,5078.352,6077.575,7486.018,8978.757,7351.644,6821.548,6838.338,8517.452,9464.678,9559.959,10157.395,7916.927,7390.1,8120.517,8438.284,8917.983
Tuvalu,no data,no data,1741.529,2075.674,2385.564,2348.707,2464.219,2865.977,3186.846,2759.034,3133.042,3777.342,3609.113,3615.373,3583.652,3396.69,3798.272,4255.25,4498.998,5046.827
"Türkiye, Republic of",4237.961,3082.899,3617.23,4684.698,6015.665,7350.887,7961.078,9640.571,10778.131,8941.404,10533.45,11221.402,11637.915,12488.968,12079.287,10973.586,10891.19,10628.898,9514.047,9145.817
Uganda,355.466,347.812,361.953,361.772,430.758,483.032,527.739,634.361,784.496,815.808,808.713,872.039,950.574,964.833,1008.018,839.308,837.468,838.341,879.342,951.523
Ukraine,664.376,784.864,885.315,1055.946,1374.656,1839.515,2319.286,3101.388,3944.724,2557.279,2982.814,3587.405,3874.152,4051.42,3119.576,2134.773,2200.851,2655.99,3118.258,3688.953
United Arab Emirates,34386.178,32621.364,32790.74,35017.316,39301.136,43983.848,44313.566,41466.918,39073.38,30920.369,36324.592,42986.879,45108.027,46207.448,47063.628,41422.602,40483.337,41971.753,45591.68,43981.605
United Kingdom,28347.704,27897.127,30129.415,34516.913,40434.576,42170.81,44613.883,50457.549,47918.324,38969.675,39736.208,42147.693,42489.953,43492.461,47476.188,45085.336,41275.864,40666.831,43377.759,42797.258
United States,36312.782,37101.453,37945.761,39405.354,41641.617,44034.256,46216.853,47943.353,48470.553,47102.428,48586.288,50008.108,51736.738,53245.516,55083.507,56729.681,57839.992,59878.72,62787.782,65077.295
Uruguay,7432.339,6803.597,4441.095,3941.678,4476.943,5663.499,6377.451,7622.824,9857.304,10232.122,12943.943,15341.308,16325.41,18271.525,18109.936,16791.911,16544.82,18626.981,18604.958,17636.703
Uzbekistan,702.209,587.633,481.995,499.329,585.221,689.391,811.157,1048.715,1324.54,1523.417,1777.487,2067.524,2284.525,2440.258,2651.384,2761.29,2712.808,1932.763,1618.967,1812.738
Vanuatu,1422.228,1317.091,1313.463,1542.059,1743.287,1824.505,1985.275,2308.554,2540.715,2519.625,2719.254,3007.564,2934.853,2940.193,2947.953,2771.657,2844.132,3158.901,3256.353,3187.38
Venezuela,4820.646,4963.916,3778.255,3266.095,4311.999,5421.656,6646.803,8538.102,11079.069,9557.55,11158.18,10934.275,12688.11,8692.955,7107.443,4096.971,3676.384,3806.656,3529.72,2624.411
Vietnam,498.579,513.197,546.555,610.357,756.981,873.136,996.255,1152.267,1446.562,1481.442,1628.013,1949.826,2197.619,2369.973,2566.854,2581.907,2720.168,2957.899,3216.254,3439.102
West Bank and Gaza,1412.75,1275.685,1102.5,1197.161,1350.906,1461.093,1480.704,1563.701,1913.316,2061.558,2406.261,2711.917,2888.598,3122.985,3158.599,3084.132,3325.846,3407.307,3353.225,3442.754
Yemen,526.881,521.697,551.194,591.218,677.899,796.361,881.275,970.82,1170.964,1061.415,1267.555,1303.586,1369.687,1519.342,1579.558,1508.382,1083.887,905.181,710.384,702.286
Zambia,364.026,379.713,399.099,452.287,556.05,720.204,1066.02,1133.672,1393.78,1151.193,1469.239,1644.13,1729.58,1840.665,1724.805,1307.536,1250.324,1495.751,1475.2,1268.121
Zimbabwe,969.824,964.08,922.878,822.472,806.898,764.632,677.881,646.558,553.376,790.352,975.851,1131.675,1310.442,1421.696,1415.278,1425.466,1444.716,1481.241,2529.401,1747.346
Africa (Region),900.146,851.157,848.238,998.822,1167.057,1339.252,1506.701,1706.668,1944.551,1800.418,2050.024,2231.787,2320.378,2345.351,2369.607,2110.298,1956.895,1915.312,2001.195,2001.224
Asia and Pacific,2652.886,2444.831,2467.594,2720.962,3035.255,3245.298,3435.52,3887.563,4348.609,4422.773,5112.83,5816.497,6114.244,6145.286,6304.746,6193.753,6384.362,6777.094,7208.036,7328.313
Australia and New Zealand,19741.776,18515.144,20688.276,26136.036,31496.903,34735.567,35970.586,42959.889,46307.676,42891.724,52773.236,62508.584,63808.773,61495.513,58834.557,49281.194,49805.529,53601.584,54135.687,52327.689
Caribbean,2952.167,2941.232,3014.993,3080.494,3374.798,3773.073,4065.959,4540.636,5060.923,4396.871,4654.997,4985.557,5168.862,5245.384,5299.478,5138.504,4796.026,4932.353,5109.707,5010.435
Central America,2128.538,2202.399,2280.452,2195.599,2308.001,2719.5,2934.293,3287.848,3644.773,3585.592,3928.372,4344.354,4607.539,4816.7,5064.175,5346.849,5564.853,5810.774,5956.654,6099.981
Central Asia and the Caucasus,2452.981,no data,1988.413,2521.082,3221.958,3958.458,4481.019,5509.872,6272.52,5338.628,6290.767,6989.747,7316.286,7841.508,7609.399,6708.144,6293.224,6247.351,5794.311,5698.703
East Asia,4925.666,4537.436,4526.851,4907.489,5407.63,5683.568,5903.895,6489.532,7397.996,7726.821,8779.033,10077.523,10736.947,10775.243,11174.207,11209.243,11595.274,12256.851,13346.599,13620.267
Eastern Europe ,2298.592,2615.675,2973.747,3647.038,4663.873,5729.575,6969.475,9033.306,11319.53,8864.446,10044.335,11911.984,12095.623,12663.891,11925.6,8993.178,8825.928,10319.623,11290.986,11614.676
Europe,13504.16,13734.739,15013.907,18213.434,21135.344,22350.78,24116.116,28057.526,30788.126,26982.243,27386.208,30088.235,28752.429,29909.246,30332.677,25993.32,25943.764,27561.834,29701.873,29285.531
Middle East (Region),6557.204,6110.657,4739.471,4543.871,5297.785,6304.651,7236.977,8361.706,10185.919,8828.42,10230.597,13272.852,12807.086,12993.342,13031.889,11076.524,10939.838,11563.327,11935.923,11377.529
North Africa,1914.575,1843.826,1673.831,1832.94,2036.999,2324.981,2633.241,3019.416,3656.28,3381.186,3752.593,3926.835,4406.525,4336.307,4304.225,3990.464,3896.145,3384.306,3546.556,3732.87
North America,28395.261,29008.062,29606.968,30750.107,32634.481,34750.692,36712.853,38309.417,38881.971,36984.959,38749.909,40238.293,41412.283,42499.325,43610.712,43784.932,44169.08,45839.363,47945.24,49479.265
Pacific Islands ,1194.274,1067.367,1047.767,1265.773,1432.037,1607.885,1738.639,1923.673,2200.042,2056.798,2341.532,2775.081,3049.779,3023.196,3199.423,2969.215,2853.952,3056.382,3168.1,3158.682
South America,4046.42,3667.64,2848.775,3030.866,3615.374,4561.202,5481.491,6740.201,8098.527,7712.579,9768.779,11328.926,11350.52,11201.459,10814.939,8752.209,8434.345,9480.417,8899.232,8411.229
South Asia,485.804,487.91,503.276,575.243,655.512,735.683,817.263,1017.934,1020.979,1095.198,1315.907,1406.012,1406.752,1426.71,1542.791,1595.661,1713.062,1929.56,1962.653,2008.533
Southeast Asia,1249.721,1189.509,1309.148,1454.198,1622.866,1786.022,2111.57,2488.493,2860.372,2791.612,3411.386,3915.591,4106.764,4198.345,4185.706,4018.403,4164.492,4444.94,4718.133,4946.212
Sub-Saharan Africa (Region) ,683.299,640.913,675.077,825.485,988.158,1138.48,1279.404,1444.776,1606.133,1490.505,1719.121,1906.001,1922.36,1968.296,2005.784,1759.022,1597.433,1642.071,1716.29,1686.371
Western Europe,23116.195,23189.631,25140.843,30345.32,34726.903,35924.666,38000.019,43337.48,46289.946,41324.829,41030.82,44306.092,41728.204,43296.825,44562.933,39070.711,39043.766,40693.028,43646.516,42599.105
Western Hemisphere (Region),16322.99,16457.159,16404.842,17038.256,18229.298,19709.286,21091.079,22445.93,23324.796,22173.607,23926.033,25353.117,25961.094,26448.617,26851.211,26074.324,26135.093,27424.778,28257.792,28807.683
ASEAN-5,1572.177,1487.217,1644.355,1821.529,2011.471,2199.273,2607.165,3074.119,3492.116,3385.137,4177.487,4742.031,4934.317,5009.992,4941.123,4715.428,4889.034,5213.511,5513.448,5771.691
Advanced economies,27733.465,27274.175,28276.648,31528.421,34770.004,36354.823,37985.876,41221.389,43258.493,40570.265,42154.363,45011.518,44632.763,44832.244,45647.709,42967.254,43894.075,45602.87,48077.036,48349.97
Emerging and Developing Asia,772.375,804.948,870.907,981.329,1125.277,1285.626,1508.12,1891.666,2253.046,2424.405,2893.486,3420.24,3730.868,4043.685,4325.911,4460.275,4542.842,4950.534,5414.995,5602.592
Emerging and Developing Europe,2410.683,2467.931,2807.419,3466.323,4485.037,5583.153,6670.665,8554.518,10518.797,8205.945,9567.682,11198.787,11538.691,12155.969,11416.048,8831.275,8633.085,9737.883,10149.625,10327.738
Emerging market and developing economies,1424.051,1411.125,1378.761,1528.02,1790.44,2111.493,2463.893,2995.563,3544.956,3341.4,3963.806,4619.364,4818.41,5043.458,5136.287,4765.292,4708.569,5088.411,5363.933,5414.923
Euro area,20041.027,20285.207,22037.927,26997.512,30789.296,31756.198,33586.553,38527.676,42140.674,38320.873,37429.211,40426.457,37412.152,38951.153,39684.618,34212.154,34950.556,36938.566,39865.205,39000.77
European Union,17066.182,17303.545,18868.09,23119.124,26484.175,27544.487,29295.782,33836.256,37343.114,33722.254,33260.463,35927.873,33338.579,34762.658,35535.47,30697.965,31380.778,33313.276,36019.757,35289.773
Latin America and the Caribbean,4528.593,4361.712,3818.743,3829.212,4329.285,5186.002,6007.415,7032.891,8080.499,7372.988,9065.326,10354.076,10410.162,10423.657,10220.07,8573.237,8179.021,9015.708,8730.299,8472.508
Major advanced economies (G7),31750.999,31186.652,31964.131,35080.227,38310.838,39755.216,41220.322,44015.947,45898.17,43475.438,44933.933,47527.571,47533.25,47333.164,48236.343,46063.98,47115.45,48545.525,51059.568,51793.937
Middle East and Central Asia,2378.475,2254.294,1812.54,1963.787,2309.21,2760.317,3224.376,3777.211,4540.877,3989.352,4581.373,5523.216,5468.369,5535.759,5541.547,4845.771,4689.056,4718.331,4826.936,4641.97
Other advanced economies,18556.352,17818.998,19256.586,22060.942,25057.251,27467.155,29512.503,33466.579,34992.213,31880.852,36443.759,41289.671,41257.008,42337.612,42777.398,39047.834,39515.701,42199.64,44095.107,42996.566
Sub-Saharan Africa,696.181,647.923,680.867,835.279,999.703,1146.304,1280.496,1436.976,1601.1,1494.823,1723.122,1900.371,1943.625,1988.407,2021.675,1761.831,1594.159,1658.898,1752.977,1722.048
World,5685.367,5573.199,5666.925,6259.559,6958.197,7444.741,7963.61,8880.476,9621.091,9001.813,9729.716,10693.364,10747.838,10922.701,11077.174,10330.08,10378.001,10905.997,11456.93,11500.192
,,,,,,,,,,,,,,,,,,,,
"©IMF, 2023",,,,,,,,,,,,,,,,,,,,
